Date,Open,High,Low,Close,Adj Close,Volume
2020-10-21,55.650002,56.360001,55.279999,55.669998,55.669998,211100
2020-10-22,54.730000,56.529999,54.730000,56.209999,56.209999,227100
2020-10-23,54.520000,55.060001,54.169998,54.650002,54.650002,506200
2020-10-26,53.270000,53.419998,52.180000,52.529999,52.529999,226000
2020-10-27,51.730000,52.009998,51.009998,51.130001,51.130001,180300
2020-10-28,50.380001,50.709999,49.080002,49.439999,49.439999,183100
2020-10-29,50.310001,51.169998,50.029999,50.889999,50.889999,176200
2020-10-30,50.790001,51.279999,49.980000,51.139999,51.139999,144900
2020-11-02,50.889999,51.139999,50.349998,50.830002,50.830002,176500
2020-11-03,52.119999,53.220001,52.020000,52.980000,52.980000,179500
2020-11-04,52.070000,53.730000,51.840000,52.790001,52.790001,204900
2020-11-05,54.110001,55.650002,53.889999,55.270000,55.270000,160300
2020-11-06,55.209999,55.590000,54.840000,55.180000,55.180000,102800
2020-11-09,62.220001,62.669998,60.799999,61.090000,61.090000,433200
2020-11-10,60.660000,61.490002,60.189999,60.220001,60.220001,611100
2020-11-11,59.410000,59.759998,58.650002,58.950001,58.950001,370800
2020-11-12,59.369999,59.900002,58.090000,58.509998,58.509998,302100
2020-11-13,58.360001,59.580002,58.110001,59.270000,59.270000,290900
2020-11-16,62.240002,62.389999,61.540001,61.720001,61.720001,410000
2020-11-17,61.090000,62.049999,60.930000,61.540001,61.540001,170400
2020-11-18,60.830002,61.730000,60.320000,60.320000,60.320000,134200
2020-11-19,59.060001,59.849998,58.880001,59.820000,59.820000,158000
2020-11-20,59.930000,60.130001,59.549999,59.669998,59.669998,100500
2020-11-23,60.919998,61.490002,60.549999,61.119999,61.119999,108100
2020-11-24,62.799999,63.169998,62.220001,63.139999,63.139999,142900
2020-11-25,62.959999,63.400002,62.680000,63.189999,63.189999,178600
2020-11-27,63.700001,64.239998,63.320000,63.450001,63.450001,101600
2020-11-30,62.820000,62.820000,61.869999,61.910000,61.910000,181600
2020-12-01,62.900002,63.939999,62.669998,63.799999,63.799999,118600
2020-12-02,62.790001,63.619999,62.560001,63.490002,63.490002,112600
2020-12-03,64.949997,66.059998,64.779999,65.370003,65.370003,121200
2020-12-04,67.169998,67.440002,66.260002,67.150002,67.150002,125900
2020-12-07,65.930000,66.260002,65.559998,65.889999,65.889999,333200
2020-12-08,63.430000,64.070000,63.200001,63.290001,63.290001,258500
